Time,Week_N
596.635,1880
596.749,1880
596.885,1880
596.999,1880
597.135,1880
597.249,1880
597.385,1880
597.499,1880
597.635,1880
597.749,1880
597.885,1880
597.999,1880
598.135,1880
