Time,GyroZ
82.251,-21.9100017547607
82.271,-0.590000033378601
82.281,-6.96000051498413
82.291,-12.2100009918213
82.301,1.99000012874603
82.311,3.4300000667572
82.321,-0.660000026226044
82.331,-13.0900001525879
82.341,-2.69000005722046
82.351,-10.3600006103516
82.361,-22.6100006103516
82.371,-10.6700000762939
82.381,-0.800000011920929
82.391,-5.32000017166138
82.401,2.17000007629395
82.411,-11.0200004577637
82.421,-18.0900001525879
82.431,-10.0100002288818
82.441,-3.74000024795532
82.451,-3.95000028610229
82.461,2.76000022888184
82.469,-11.6900005340576
82.479,-22.7800006866455
82.489,-9.97000026702881
82.499,-7.00000047683716
82.509,4.55000019073486
82.519,-6.93000030517578
82.529,-10.8800001144409
82.539,6.02000045776367
82.549,-12.1400003433228
82.559,-11.0900001525879
82.569,-10.2500009536743
82.579,-8.71000003814697
82.589,-0.350000023841858
82.599,-1.19000005722046
82.609,-12.4200010299683
82.619,-13.8900003433228
82.629,-15.6100006103516
82.639,-14.4900007247925
82.649,-9.6200008392334
82.659,-3.88000011444092
82.663,-4.83000040054321
82.673,17.6000003814697
82.683,-20.3000011444092
82.693,-21.0000019073486
82.703,3.67000007629395
82.713,-17.810001373291
82.723,-33.0699996948242
82.733,-19.7400016784668
82.743,0.280000001192093
82.753,13.9300003051758
82.763,-0.910000026226044
82.773,-7.73000049591064
82.783,-14.3500003814697
82.793,-10.1500005722046
82.803,-15.9600009918213
82.813,-10.3200006484985
82.822,-7.66000032424927
82.832,-13.5400009155273
82.842,-15.2200002670288
82.852,-20.7900009155273
82.862,-5.35000038146973
82.872,-13.4700002670288
82.882,-23.9700012207031
82.892,-10.9500007629395
82.902,-7.59000015258789
82.912,7.5600004196167
82.922,-3.01000022888184
82.932,-7.28000020980835
82.942,-6.30000019073486
82.952,-11.5800008773804
82.962,-5.67000007629395
82.972,-4.51000022888184
82.982,-8.75
82.992,-8.61000061035156
83.002,-5.98000049591064
83.012,-8.47000026702881
83.021,-17.0799999237061
83.031,-13.0900001525879
83.041,-21.1400012969971
83.051,-17.0400009155273
83.061,-2.41000008583069
83.071,-13.1200008392334
83.081,-16.060001373291
83.091,-13.8900003433228
83.101,-29.6400012969971
83.111,-20.0200004577637
83.121,-1.71000003814697
83.131,-17.8800010681152
83.141,-2.83000016212463
83.151,-13.9300003051758
83.161,-13.9600009918213
83.171,-10.460000038147
83.181,-6.05000019073486
83.191,-19.3200016021729
83.201,-7.4200005531311
83.211,-27.4000015258789
83.219,-16.3400001525879
83.229,-11.9700002670288
83.239,-23.6600017547607
83.249,-14.1400003433228
83.259,-16.8700008392334
83.269,-1.75000011920929
83.279,-10.1500005722046
83.289,-8.01000022888184
83.299,-23.5200004577637
83.309,-32.8600006103516
83.319,-34.9300003051758
83.329,-27.4400005340576
83.339,-19.2100009918213
83.349,-22.6400012969971
83.359,-33.4200019836426
83.369,-34.9600028991699
83.379,-25.230001449585
83.389,-23.4500007629395
83.399,-19.4900016784668
83.409,-13.4000005722046
83.413,-20.1200008392334
83.423,-39.8300018310547
83.433,-37.2400016784668
83.443,-46.060001373291
83.453,-42.9400024414062
83.463,-46.9000015258789
83.473,-67.0600051879883
83.483,-74.4400024414062
83.493,-65.0600051879883
83.503,-52.3900032043457
83.513,-48.9600028991699
83.523,-43.8900032043457
83.533,-51.9400024414062
83.543,-46.5500030517578
83.553,-20.6800003051758
83.563,-38.3600006103516
83.572,-5.91000032424927
83.582,-37.4800033569336
83.592,-12.0000009536743
83.602,6.44000053405762
83.612,4.20000028610229
83.622,32.0200004577637
83.632,-9.0600004196167
83.642,15.2600011825562
83.652,-16.0300006866455
83.662,-21.1000003814697
83.672,-17.2900009155273
83.682,-50.2200012207031
83.692,-46.9000015258789
83.702,-25.1300010681152
83.712,-58.2400016784668
83.722,-69.0200042724609
83.732,-71.6100006103516
83.742,-78.9200057983398
83.752,-71.1500015258789
83.762,-61.7700042724609
83.771,-58.4800033569336
83.781,-60.5100021362305
83.791,-24.0100002288818
83.801,-40.2500038146973
83.811,-19.6000003814697
83.821,-18.0900001525879
83.831,-48.1600036621094
83.841,0.870000064373016
83.851,-23.6600017547607
83.861,-3.57000017166138
83.871,-17.7800006866455
83.881,-4.69000005722046
