Time,GyroZ
187.528,-31.3900012969971
187.538,-20.1600017547607
187.548,-9.45000076293945
187.558,-27.1900005340576
187.568,-2.97000002861023
187.579,1.50000011920929
187.589,-20.0900001525879
187.599,-15.8200006484985
187.609,-0.520000040531158
187.619,-14.6600008010864
187.629,-4.79000043869019
187.639,-5.63000011444092
187.649,-12.9800004959106
187.659,-10.7400007247925
187.669,2.83000016212463
187.679,-17.5700016021729
187.689,7.73000049591064
187.699,-13.1900005340576
187.709,-36.1500015258789
187.719,5.84000015258789
187.729,-24.9900016784668
187.739,-16.5500011444092
187.749,0.700000047683716
187.759,-23.2000007629395
187.769,-11.3700008392334
187.773,-0.380000025033951
187.783,-10.0100002288818
187.793,-12.7000007629395
187.803,-1.99000012874603
187.813,-17.0100002288818
187.823,0.21000000834465
187.833,-14.8000011444092
187.843,-17.6700000762939
187.853,-1.92000007629395
187.863,-32.2300033569336
187.873,-2.24000000953674
187.883,-17.3900012969971
187.893,-0.490000009536743
187.903,-23.6600017547607
187.913,-2.97000002861023
187.923,-25.5500011444092
187.931,-2.34000015258789
187.941,-4.76000022888184
187.951,-10.1100006103516
187.961,11.7900009155273
187.971,-38.1800003051758
187.981,9.66000080108643
187.991,-31.3200016021729
188.001,-31.2200012207031
188.011,-1.96000003814697
188.021,-38.6000022888184
188.031,24.1800003051758
188.041,-3.1800000667572
188.051,-29.8500022888184
188.061,-6.02000045776367
188.071,-18.5500011444092
188.081,-15.4000005722046
188.091,-1.12000000476837
188.101,-16.5900001525879
188.111,-24.8500003814697
188.121,-7.28000020980835
188.13,-40.3500022888184
188.14,4.26999998092651
188.15,-28.0700016021729
188.16,-45.5700035095215
188.17,-21.8000011444092
188.18,-15.3300008773804
188.19,-21.5200004577637
188.2,0.770000040531158
188.21,-15.5700006484985
188.22,-17.8800010681152
188.23,-11.6500005722046
188.24,-12.0400009155273
188.25,-8.36000061035156
188.26,-9.76000022888184
188.27,-3.81000018119812
188.28,-2.76000022888184
188.29,-21.310001373291
188.3,-25.7200012207031
188.31,-36.120002746582
188.32,-38.7100028991699
188.329,-26.9500007629395
188.339,-25.7200012207031
188.349,-16.3400001525879
188.359,-14.7000007629395
188.369,-20.5400009155273
188.379,-23.1700019836426
188.389,-22.6400012969971
188.399,-16.2700004577637
188.409,2.52000021934509
188.419,-3.60000014305115
188.429,-9.13000011444092
188.439,-14.7000007629395
188.449,-15.9900007247925
188.459,-26.5300006866455
188.469,-19.25
188.479,-33.3900032043457
188.489,-21.8400001525879
188.499,-31.5300006866455
188.509,-34.3300018310547
188.519,-31.1500015258789
188.523,-2.69000005722046
188.533,-18.7900009155273
188.543,-22.9200019836426
188.553,-9.66000080108643
188.563,-23.3400020599365
188.573,-30.730001449585
188.583,-25.3000011444092
188.593,-41.6100006103516
188.603,-37.1000022888184
188.613,-34.8900032043457
188.623,-39.4400024414062
188.633,-31.4600009918213
188.643,-24.5000019073486
188.653,-21.8700008392334
188.663,-11.1300001144409
188.673,-3.1800000667572
188.681,-13.5400009155273
188.691,-4.97000026702881
188.701,5.04000043869019
188.711,-12.4900007247925
188.721,-11.8300008773804
188.731,-16.8299999237061
188.741,-24.9900016784668
188.751,-22.7500019073486
188.761,-20.0200004577637
188.771,-26.5300006866455
188.781,-18.1600017547607
188.791,-21.4500007629395
188.801,-22.1900005340576
188.811,-14.6600008010864
188.821,-21.560001373291
188.831,-22.2900009155273
188.841,-14.8000011444092
188.851,-18.480001449585
188.861,-15.5400009155273
188.871,-6.72000026702881
188.88,3.60000014305115
188.89,9.45000076293945
188.9,12.5600004196167
188.91,1.40000009536743
188.92,0.21000000834465
188.93,2.41000008583069
188.94,-21.0700016021729
188.95,-18.2000007629395
188.96,-23.4500007629395
188.97,-33.6300010681152
188.98,-31.3900012969971
188.99,-26.9100017547607
189,-22.0100002288818
189.01,-9.52000045776367
189.02,-5.63000011444092
189.03,-9.69000053405762
189.04,3.32000017166138
189.05,1.6100001335144
189.06,1.12000000476837
189.07,2.55000019073486
189.079,-4.20000028610229
189.089,-3.99000024795532
189.099,-3.57000017166138
189.109,0.870000064373016
189.119,-3.95000028610229
189.129,-5.39000034332275
189.139,-5.39000034332275
189.149,-11.9300003051758
189.159,-14.3100004196167
189.169,-18.5500011444092
189.179,-25.7200012207031
189.189,-23.2000007629395
189.199,-29.7800006866455
189.209,-32.060001373291
189.219,-24.9900016784668
189.229,-19.3500003814697
189.239,-13.1600008010864
189.249,-5.84000015258789
189.259,-7.35000038146973
189.269,-2.45000004768372
189.273,3.4300000667572
189.283,2.52000021934509
189.293,-5.18000030517578
189.303,-7.52000045776367
189.313,-11.9000005722046
189.323,-21.3500003814697
189.333,-26.4900016784668
189.343,-20.7200012207031
189.353,-24.3900012969971
189.363,-15.8200006484985
189.373,-22.4000015258789
189.383,-35.0700035095215
189.393,-37.4800033569336
189.403,-37.9400024414062
189.413,-25.6900005340576
189.423,-37.5900001525879
189.431,-29.5000019073486
189.441,-16.2000007629395
189.451,-35.4500007629395
189.461,-39.9300003051758
189.471,-30.8700008392334
189.481,-49.1700019836426
189.491,-50.5400009155273
189.501,-50.4000015258789
189.511,-39.9000015258789
189.521,-43.9200019836426
189.531,-62.4400024414062
189.541,-45.810001373291
189.551,-54.810001373291
189.561,-50.6400032043457
189.571,-53.7200012207031
189.581,-62.8200035095215
189.591,-68.6300048828125
189.601,-75.1100006103516
189.611,-74.0200042724609
189.621,-71.7100067138672
189.63,-84.7000045776367
189.64,-87.0400009155273
189.65,-77.2400054931641
189.66,-67.2000045776367
189.67,-53.930004119873
189.68,-39.8600006103516
189.69,-23.3400020599365
189.7,-15.7800006866455
189.71,-18.3000011444092
189.72,-9.45000076293945
189.73,-2.31000018119812
189.74,-13.8600006103516
189.75,-13.6100006103516
189.76,-5.95000028610229
189.77,-12.8400001525879
189.78,-21.8700008392334
189.79,-19.560001373291
189.8,-28.0700016021729
189.81,-38.8500022888184
189.82,-35.870002746582
189.829,-50.4700012207031
189.839,-60.8600044250488
189.849,-58.060001373291
189.859,-52.9200019836426
189.869,-61.8800010681152
189.879,-61.6300010681152
189.889,-54.6700019836426
189.899,-54.4900016784668
189.909,-53.7200012207031
189.919,-50.5000038146973
189.929,-25.7600021362305
189.939,-4.23000001907349
189.949,4.0600004196167
189.959,9.66000080108643
189.969,26.1800003051758
189.979,3.92000007629395
189.989,8.15000057220459
189.999,-2.80000019073486
190.009,-32.9000015258789
190.019,-43.4300003051758
190.023,-82.9100036621094
190.033,-78.1500015258789
190.043,-68.390007019043
190.053,-75.3500061035156
190.063,-75.9800033569336
190.073,-76.8200073242188
190.083,-53.5500030517578
190.093,-31.0400009155273
190.103,-1.40000009536743
190.113,10.9900007247925
190.123,-0.350000023841858
190.133,-7.73000049591064
190.143,-9.55000019073486
190.153,-23.6600017547607
190.163,-30.8000011444092
190.173,-34.5400009155273
190.181,-33.3199996948242
190.191,-43.4700012207031
190.201,-35.3800010681152
190.211,-43.1900024414062
190.221,-48.7900009155273
190.231,-37.5900001525879
190.241,-20.230001449585
190.251,-16.1000003814697
190.261,-13.1600008010864
190.271,-19.7400016784668
190.281,-18.5500011444092
190.291,-20.5800018310547
190.301,-16.1700000762939
190.311,-14.7300004959106
190.321,-6.54000043869019
190.331,-19.8400001525879
190.341,-10.0800008773804
190.351,-23.5500011444092
190.361,-39.0900001525879
190.371,-51.2400016784668
190.38,-64.6100006103516
190.39,-47.9800033569336
190.4,-43.0800018310547
190.41,-39.3400001525879
190.42,-42.6300010681152
190.43,-54.9100036621094
190.44,-53.9000015258789
190.45,-50.3600006103516
190.46,-62.120002746582
190.47,-58.0300025939941
190.48,-64.6399993896484
190.49,-47.3500022888184
190.5,-50.7100028991699
190.51,-51.0300025939941
190.52,-49.870002746582
190.53,-52.430004119873
190.54,-59.180004119873
190.55,-62.930004119873
190.56,-61.3200035095215
190.57,-70.870002746582
190.579,-78.3300018310547
190.589,-69.4000015258789
190.599,-59.3200035095215
190.609,-44.310001373291
190.619,-27.0500011444092
190.629,-16.1700000762939
190.639,-12.7400007247925
190.649,-12.4600009918213
190.659,1.57000005245209
190.669,12.6000003814697
190.679,9.13000011444092
190.689,-1.47000002861023
190.699,-4.0600004196167
190.709,-16.1300010681152
190.719,-15.7500009536743
190.729,-24.2200012207031
190.739,-38.810001373291
190.749,-35.310001373291
190.759,-31.0400009155273
190.769,-34.3300018310547
190.774,-19.560001373291
190.784,-28.0000019073486
190.794,-36.7100028991699
190.804,-26.1400012969971
190.814,-32.0900001525879
190.824,-31.810001373291
190.834,-28.0000019073486
190.844,-37.8000030517578
190.854,-48.8900032043457
190.864,-56.2100028991699
190.874,-63.1400032043457
190.884,-88.620002746582
190.894,-90.8200073242188
190.904,-68.8800048828125
190.914,-69.5100021362305
190.924,-74.7200012207031
190.931,-62.0200042724609
190.941,-66.3199996948242
190.951,-60.7600021362305
190.961,-41.3300018310547
190.971,-20.4400005340576
190.981,2.55000019073486
190.991,46.7200012207031
191.001,28.2400016784668
191.011,-11.6500005722046
191.021,-34.8200035095215
191.031,-43.6100006103516
191.041,-61.2500038146973
191.051,-68.5600051879883
191.061,-79.1300048828125
191.071,-64.4300003051758
191.081,-52.180004119873
191.091,-41.7900009155273
191.101,-58.870002746582
191.111,-45.5300025939941
191.121,-32.7200012207031
191.13,-19.9500007629395
191.14,-32.6500015258789
191.15,-33.7000007629395
191.16,-33.6300010681152
191.17,-31.9900016784668
191.18,-36.5400009155273
191.19,-43.0500030517578
191.2,-36.6800003051758
191.21,-17.8800010681152
191.22,-10.2900009155273
191.23,-16.9700012207031
191.24,-7.73000049591064
191.25,-4.69000005722046
191.26,-0.240000009536743
191.27,3.22000026702881
191.28,-1.15000009536743
191.29,-15.5000009536743
191.3,-25.7200012207031
191.31,-41.4700012207031
191.32,-60.8300018310547
191.329,-71.7100067138672
191.339,-67.4400024414062
191.349,-61.0400047302246
191.359,-60.620002746582
191.369,-59.9200019836426
191.379,-45.3200035095215
191.389,-44.9000015258789
191.399,-38.3200035095215
191.409,-29.4300022125244
191.419,-23.1300010681152
191.429,-15.6400003433228
191.439,-13.8900003433228
191.449,-11.4800004959106
191.459,-7.66000032424927
191.469,-12.9800004959106
191.479,-14.7700004577637
191.489,-19.2100009918213
191.499,-25.5800018310547
191.509,-16.3400001525879
191.519,-1.22000002861023
191.523,-26.980001449585
191.533,-33.8400001525879
191.543,-28.7700004577637
191.553,-24.5300006866455
191.563,-19.4200000762939
191.573,-32.0900001525879
191.583,-21.8400001525879
191.593,-21.560001373291
191.603,0.520000040531158
191.613,-15.5000009536743
191.623,-9.3100004196167
191.633,-3.81000018119812
191.643,-5.49000024795532
191.653,-24.7400016784668
191.663,-29.1900005340576
191.673,-30.2000007629395
191.681,-29.4700012207031
191.691,-36.8200035095215
191.701,-46.2000007629395
191.711,-33.7700004577637
191.721,-25.480001449585
191.731,-21.0300006866455
191.741,-15.4000005722046
191.751,-17.5700016021729
191.761,-20.5100002288818
191.771,-14.7700004577637
191.781,-17.1800003051758
191.791,-22.4700012207031
191.801,-18.8300018310547
191.811,-18.1300010681152
191.821,-4.48000001907349
191.831,3.57000017166138
191.841,-1.15000009536743
191.851,-11.8300008773804
191.861,-12.8100004196167
191.871,-22.7500019073486
191.88,-14.9400005340576
191.89,-15.4700002670288
191.9,-30.5900020599365
191.91,-22.4300003051758
191.92,-8.57000064849854
191.93,-16.8700008392334
191.94,-21.1400012969971
191.95,-16.2700004577637
191.96,-18.0200004577637
191.97,-13.9300003051758
191.98,-9.34000015258789
191.99,-14.5900011062622
192,-23.3400020599365
192.01,-19.5300006866455
192.02,-20.4700012207031
192.03,-16.9000015258789
192.04,-17.8500003814697
192.05,-21.0700016021729
192.06,-19.0700016021729
192.07,-21.5900001525879
192.075,-21.6600017547607
192.085,-13.3700008392334
192.095,-7.70000028610229
192.105,-15.7800006866455
192.115,-14.7700004577637
192.125,-19.3500003814697
192.135,-15.6800003051758
192.145,-7.5600004196167
192.155,-6.47000026702881
192.165,-14.0000009536743
192.175,-18.3000011444092
192.185,-18.4100017547607
192.195,-7.80000019073486
192.205,-14.3100004196167
192.215,-12.9500007629395
192.225,-15.4300003051758
192.232,-15.8900003433228
192.242,-12.8800010681152
192.252,-12.5600004196167
192.262,-13.1900005340576
192.272,-17.1800003051758
192.282,-11.8300008773804
192.292,-15.7500009536743
192.302,-20.1600017547607
192.312,-15.4300003051758
192.322,-20.7900009155273
192.332,-18.9700012207031
192.342,-15.5400009155273
192.352,-16.9000015258789
192.362,-12.6300010681152
192.372,-7.10000038146973
192.382,-9.6200008392334
192.392,-10.0800008773804
192.402,1.54000008106232
192.412,-16.5200004577637
192.422,-9.24000072479248
192.431,-13.8600006103516
192.441,-12.9100008010864
192.451,-6.8600001335144
192.461,-10.0800008773804
192.471,-9.48000049591064
192.481,-7.35000038146973
192.491,-18.5500011444092
192.501,-17.7100009918213
192.511,-15.4700002670288
192.521,-16.5200004577637
192.531,-17.9900016784668
192.541,-11.0200004577637
192.551,-8.75
192.561,-6.02000045776367
192.571,-12.4900007247925
192.581,-7.07000017166138
192.591,-6.37000036239624
192.601,-9.13000011444092
192.611,-9.0600004196167
192.621,-12.8800010681152
192.63,-18.9300003051758
192.64,-15.3300008773804
192.65,-9.45000076293945
192.66,-10.8500003814697
192.67,-14.6600008010864
192.68,-12.8400001525879
192.69,-16.2400016784668
192.7,-7.91000032424927
192.71,-4.44000005722046
192.72,-16.0300006866455
192.73,-15.8200006484985
192.74,-9.97000026702881
192.75,-16.060001373291
192.76,-6.40000009536743
192.77,-5.04000043869019
192.78,-16.9700012207031
192.79,-4.20000028610229
192.8,-12.4900007247925
192.81,-13.8200006484985
192.82,-11.3700008392334
192.825,-15.1200008392334
192.835,-6.6100001335144
192.845,-11.2000007629395
192.855,-14.7700004577637
192.865,-3.15000009536743
192.875,-19
192.885,-13.1200008392334
192.895,-14.2800006866455
192.905,-13.5100002288818
192.915,-4.44000005722046
192.925,-13.0500001907349
192.935,-22.2900009155273
192.945,-11.4100008010864
192.955,-15.0500011444092
192.965,-18.7200012207031
192.975,-19.3500003814697
192.982,-16.2400016784668
192.992,-22.2200012207031
193.002,-2.17000007629395
193.012,-18.5500011444092
193.022,-25.0900020599365
193.032,-6.05000019073486
193.042,-3.81000018119812
193.052,-5.53000020980835
193.062,-14.0000009536743
193.072,-23.6600017547607
193.082,-17.7100009918213
193.092,-19.3900012969971
193.102,-29.2900009155273
193.112,-7.35000038146973
193.122,-10.7400007247925
193.132,-21.4900016784668
193.142,-16.060001373291
193.152,-23.8300018310547
193.162,-20.8900012969971
193.172,-22.6100006103516
193.181,-25.7200012207031
193.191,-24.7400016784668
193.201,-19.3200016021729
193.211,-8.47000026702881
193.221,-1.00999999046326
193.231,-11.3000001907349
193.241,-27.5800018310547
193.251,-16.6900005340576
193.261,-4.90000009536743
193.271,-20.5800018310547
193.281,-25.9300003051758
193.291,-18.4400005340576
193.301,-24.3600006103516
193.311,-13.9300003051758
193.321,-22.8900012969971
193.331,-31.3200016021729
193.341,-11.4100008010864
193.351,-32.8600006103516
193.361,-20.7500019073486
193.371,-21.2400016784668
193.38,-20.8900012969971
193.39,-16.3800010681152
193.4,-20.3700008392334
193.41,-9.41000080108643
193.42,-13.6100006103516
193.43,-19.6700000762939
