Time,Int_Batt_Voltage
540.189,3.93600010871887
541.239,3.93800020217896
542.289,3.93600010871887
543.339,3.93800020217896
544.389,3.93800020217896
545.439,3.93800020217896
546.489,3.93400025367737
547.539,3.93400025367737
548.589,3.93400025367737
549.639,3.93400025367737
550.689,3.93800020217896
551.739,3.93800020217896
552.789,3.93800020217896
553.839,3.93600010871887
554.889,3.93800020217896
555.939,3.93800020217896
556.989,3.94800019264221
558.039,3.95000028610229
559.089,3.95000028610229
560.139,3.95000028610229
561.189,3.95000028610229
562.239,3.94800019264221
563.289,3.95000028610229
564.339,3.95000028610229
565.389,3.94800019264221
566.439,3.94800019264221
567.489,3.94600009918213
568.539,3.94400024414062
569.589,3.94600009918213
570.639,3.94600009918213
571.689,3.94800019264221
572.739,3.95000028610229
573.789,3.94800019264221
574.839,3.94800019264221
575.889,3.9520001411438
576.939,3.9520001411438
577.989,3.9520001411438
579.039,3.9520001411438
580.089,3.9520001411438
581.139,3.9520001411438
582.189,3.95400023460388
583.239,3.9520001411438
584.289,3.9520001411438
585.339,3.9520001411438
586.389,3.9520001411438
587.439,3.95000028610229
588.489,3.9520001411438
589.539,3.9520001411438
590.589,3.9520001411438
591.639,3.9520001411438
592.689,3.9520001411438
593.739,3.9520001411438
594.789,3.9520001411438
595.839,3.95400023460388
596.889,3.9520001411438
597.939,3.9520001411438
