Time,Water_Temp
555.41,48.09375
555.46,48.09375
555.51,48.09375
555.56,48.09375
555.61,48.0625
555.66,48.0625
555.71,48.03125
555.76,48.03125
555.81,48.03125
555.86,48.03125
555.91,48
555.96,48
556.01,48
556.06,48
556.11,48
556.16,48
556.21,47.96875
556.26,47.96875
556.31,47.96875
556.36,47.96875
556.41,47.96875
556.46,47.96875
556.51,47.9375
556.56,47.9375
556.61,47.9375
556.66,47.96875
556.71,48
556.76,48.03125
556.81,48.03125
556.86,48.03125
556.91,48.0625
556.96,48.0625
557.01,48.0625
557.06,48.0625
557.11,48.0625
557.16,48.03125
557.21,48.03125
557.26,48
557.31,47.96875
557.36,47.9375
557.41,47.9375
557.46,47.90625
557.51,47.9375
557.559,47.96875
557.609,47.96875
557.659,48
557.709,48.03125
557.759,48.0625
557.809,48.0625
557.859,48.0625
557.909,48.03125
557.959,48.03125
558.009,48.03125
558.059,48.03125
558.109,48.0625
558.159,48.09375
558.209,48.09375
558.259,48.09375
558.309,48.125
558.359,48.125
558.409,48.125
558.459,48.125
558.509,48.125
558.559,48.09375
558.609,48.09375
558.659,48.09375
558.709,48.09375
558.759,48.0625
558.809,48.0625
558.859,48.03125
558.909,48
558.959,48
559.009,47.96875
559.059,47.96875
559.109,47.96875
559.159,48.03125
559.209,48.0625
559.259,48.09375
559.309,48.125
559.359,48.125
559.409,48.09375
559.459,48.09375
559.509,48.09375
559.559,48.09375
559.609,48.125
559.659,48.15625
559.709,48.15625
559.759,48.15625
559.809,48.09375
559.859,48.0625
559.909,48.03125
559.959,48
560.009,48
560.059,48
560.109,48.03125
560.159,48.0625
560.208,48.0625
560.258,48.0625
560.308,48.0625
560.358,48.0625
560.408,48.0625
560.458,48.0625
560.508,48.0625
560.558,48.0625
560.608,48.09375
560.658,48.09375
560.708,48.09375
560.758,48.0625
560.808,48.0625
560.858,48.03125
560.908,47.96875
560.958,47.9375
561.008,47.9375
561.058,47.90625
561.108,47.90625
561.158,47.90625
561.208,47.90625
561.258,47.9375
561.308,47.96875
561.358,48
561.408,48
561.458,47.96875
561.508,47.9375
561.558,47.90625
561.608,47.875
561.658,47.875
561.708,47.84375
561.758,47.84375
561.808,47.8125
561.858,47.8125
561.908,47.8125
561.958,47.8125
562.008,47.8125
562.058,47.8125
562.108,47.8125
562.158,47.78125
562.208,47.78125
562.258,47.78125
562.308,47.8125
562.358,47.8125
562.408,47.84375
562.458,47.84375
562.508,47.84375
562.558,47.84375
562.608,47.84375
562.658,47.84375
562.708,47.84375
562.758,47.84375
562.808,47.8125
562.857,47.8125
562.907,47.8125
562.957,47.8125
563.007,47.8125
563.057,47.84375
563.107,47.84375
563.157,47.875
563.207,47.875
563.257,47.90625
563.307,47.9375
563.357,47.9375
563.407,47.9375
563.457,47.9375
563.507,47.9375
563.557,47.96875
563.607,47.96875
563.657,48
563.707,48
563.757,48
563.807,47.96875
563.857,47.96875
563.907,47.9375
563.957,47.875
564.007,47.84375
564.057,47.8125
564.107,47.78125
564.157,47.8125
564.207,47.84375
564.257,47.875
564.307,47.90625
564.357,47.9375
564.407,47.90625
564.457,47.875
564.507,47.84375
564.557,47.84375
564.607,47.84375
564.657,47.875
564.707,47.90625
564.757,47.90625
564.807,47.90625
564.857,47.875
564.907,47.84375
564.957,47.8125
565.007,47.8125
565.057,47.8125
565.107,47.84375
565.157,47.875
565.207,47.90625
565.257,47.96875
565.307,48
565.357,48
565.407,48
565.456,48.03125
565.506,48.03125
565.556,48
565.606,48
565.656,47.96875
565.706,47.96875
565.756,47.96875
565.806,47.96875
565.856,48
565.906,47.96875
565.956,47.9375
566.006,47.875
566.056,47.8125
566.106,47.78125
566.156,47.78125
566.206,47.78125
566.256,47.8125
566.306,47.84375
566.356,47.875
566.406,47.875
566.456,47.875
566.506,47.875
566.556,47.84375
566.606,47.84375
566.656,47.84375
566.706,47.84375
566.756,47.875
566.806,47.9375
566.856,47.96875
566.906,48
566.956,48.03125
567.006,48.03125
567.056,48.03125
567.106,48
567.156,48
567.206,47.96875
567.256,47.90625
567.306,47.875
567.356,47.875
567.406,47.875
567.456,47.875
567.506,47.875
567.556,47.875
567.606,47.875
567.656,47.875
567.706,47.90625
567.756,47.9375
567.806,47.9375
567.856,47.96875
567.906,47.9375
567.956,47.9375
568.006,47.90625
568.055,47.90625
568.105,47.90625
568.155,47.875
568.205,47.875
568.255,47.90625
568.305,47.9375
568.355,47.96875
568.405,47.96875
568.455,47.96875
568.505,47.9375
568.555,47.90625
568.605,47.90625
568.655,47.90625
568.705,47.9375
568.755,47.9375
568.805,47.9375
568.855,47.9375
568.905,47.9375
568.955,47.9375
569.005,47.9375
569.055,47.96875
569.105,47.96875
569.155,47.96875
569.205,47.96875
569.255,47.96875
569.305,47.96875
569.355,47.96875
569.405,47.96875
569.455,48
569.505,48.03125
569.555,48.03125
569.605,48.0625
