Time,ECEF_velocity_Y
389.016,3.02
389.155,2.95
389.266,2.63
389.405,2.26
389.516,1.8
389.655,1.71
389.766,1.3
389.905,0.87
390.016,0.77
390.155,1.47
390.266,2.46
390.405,4.05
390.516,5.59
390.655,7.45
390.766,8.84
390.904,10.25
391.016,12.67
391.154,14.36
391.266,16.29
391.404,17.5
391.516,19.35
391.654,20.92
391.766,23.14
391.904,24.29
392.016,25.18
392.154,25.8
392.266,26.37
392.404,27.97
392.516,28.88
392.654,29.52
392.766,30.09
392.904,30.38
393.016,31.12
393.154,31.32
393.266,31.26
393.404,31.43
393.516,31.52
393.654,31.69
393.766,31.9
393.904,31.94
394.016,31.96
394.154,32.05
394.266,32.04
394.404,32
394.516,31.88
394.654,31.67
394.766,31.69
394.904,31.15
395.016,30.66
395.154,29.86
395.266,29.13
395.404,28.25
395.516,26.77
395.654,25.37
395.766,23.96
395.904,22.26
396.016,20.21
396.154,18.5
396.266,16.46
396.404,14.55
396.516,12.24
396.654,10.12
396.766,7.43
396.904,5.63
397.016,3.07
397.154,0.48
397.266,-2.06
397.404,-4.27
397.516,-6.65
397.654,-9.28
397.766,-11.32
397.904,-13.27
398.016,-14.9
398.154,-16.75
398.266,-18.64
398.404,-19.47
398.516,-20.51
398.654,-21.29
398.766,-22.16
398.904,-22.82
399.016,-22.98
399.154,-23.05
399.266,-23.2
399.404,-22.95
399.516,-22.51
399.654,-22
399.766,-21.45
399.904,-20.64
400.016,-20.02
400.154,-19.65
400.266,-19.62
400.404,-19.79
400.516,-20.33
400.654,-21.09
400.766,-22.08
400.904,-23.06
401.016,-23.73
401.154,-23.98
401.266,-24.11
401.404,-24.16
401.516,-23.83
401.653,-23.61
401.766,-23.01
401.903,-22.55
402.016,-21.66
402.153,-21.09
402.266,-20.21
402.403,-19.63
402.516,-18.62
402.653,-17.65
402.766,-16.52
402.903,-15.81
403.016,-14.52
403.153,-12.43
403.266,-10.93
403.403,-8.14
403.516,-7.3
403.653,-5.18
403.766,-3.08
403.903,-0.62
404.016,0.56
404.153,0.59
404.266,0.67
404.403,-0.09
404.516,-1.37
404.653,-3.41
404.766,-3.98
404.903,-5.12
405.016,-6.85
405.153,-8.49
405.266,-9.65
405.403,-10.46
405.516,-11.51
405.653,-12.1
405.766,-12.37
405.903,-12.2
406.016,-11.75
406.153,-10.87
406.266,-10.04
406.403,-9.56
406.516,-8.76
406.653,-8.25
406.766,-7.76
406.903,-6.87
407.016,-5.7
407.153,-4.3
407.266,-2.3
407.403,-1.13
407.516,0.82
407.653,2.55
407.766,4.14
407.903,6.18
408.016,8.06
408.153,9.61
408.266,11.03
408.403,12.01
408.516,13.34
408.653,14.42
408.766,15.38
408.903,16.06
409.016,16.42
409.153,16.43
409.266,16.13
409.403,15.68
